,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
49820,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1834-politische-kriminalitaet-links-januar-2013,Politische Kriminalität Links - Januar 2013,minor,2013-05-17T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49821,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1831-entwicklung-der-gewaltdelikte-in-mecklenburg-vorpommern-2001-2012,Entwicklung der Gewaltdelikte in Mecklenburg-Vorpommern 2001 - 2012,minor,2013-05-17T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49822,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1830-entwicklung-der-propagandadelikte-in-mecklenburg-vorpommern-2001-2012,Entwicklung der Propagandadelikte in Mecklenburg-Vorpommern 2001 - 2012,minor,2013-05-17T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49823,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1824-gemeinschaftsunterkunft-fuer-asylbewerber-in-schwerin,Gemeinschaftsunterkunft für Asylbewerber in Schwerin,minor,2013-05-17T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49824,Silke Gajek;Ulrike Berger,Silke Gajek;Ulrike Berger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1821-bildungsfreistellungen-in-mecklenburg-vorpommern,Bildungsfreistellungen in Mecklenburg-Vorpommern,minor,2013-05-17T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49825,Torsten Koplin,Torsten Koplin,https://kleineanfragen.de/mecklenburg-vorpommern/6/1817-landeskulturrat-mecklenburg-vorpommern,Landeskulturrat Mecklenburg-Vorpommern,minor,2013-05-17T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49826,Jeannine Rösler,Jeannine Rösler,https://kleineanfragen.de/mecklenburg-vorpommern/6/1811-strafbefreiende-selbstanzeigen-bei-steuerhinterziehung-in-mecklenburg-vorpommern,Strafbefreiende Selbstanzeigen bei Steuerhinterziehung in Mecklenburg-Vorpommern,minor,2013-05-17T00:00:00Z,Die Linke,Finanzministerium,Finanzministerium
49827,Henning Foerster,Henning Foerster,https://kleineanfragen.de/mecklenburg-vorpommern/6/1775-anonymisiertes-bewerbungsverfahren,Anonymisiertes Bewerbungsverfahren,minor,2013-05-17T00:00:00Z,Die Linke,Finanzministerium,Finanzministerium
49828,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1780-investitionen-in-den-amtsgerichtsgebaeuden,Investitionen in den Amtsgerichtsgebäuden,minor,2013-05-15T00:00:00Z,Die Linke,Finanzministerium,Finanzministerium
49829,Egbert Liskow,Egbert Liskow,https://kleineanfragen.de/mecklenburg-vorpommern/6/1802-erloese-aus-dem-ankauf-sogenannter-steuer-cds,Erlöse aus dem Ankauf sogenannter „Steuer-CDs“,minor,2013-05-13T00:00:00Z,CDU,Finanzministerium,Finanzministerium
