,person,party
487,Kurt Wansner,CDU
488,Michael Dietmann,CDU
489,Erol Özkaraca,SPD
490,Dr. Simon Weiß,Piraten
491,Oliver Höfinghoff,Piraten
492,Nikolaus Karsten,SPD
493,Regina Kittler,Die Linke
494,Stephan Lenz,CDU
495,Heiko Melzer,CDU
496,Dr. Michael Garmer,CDU
497,Dr. Gregor Költzsch,SPD
498,Burkard Dregger,CDU
499,Monika Thamm,CDU
500,Burgunde Grosse,SPD
501,Udo Wolf,Die Linke
502,Dr. Manuela Schmidt,Die Linke
503,Karin Halsch,SPD
504,Ellen Haußdörfer,SPD
505,Cornelia Seibeld,CDU
506,Heiko Herberg,Piraten
507,Dr. Robbin Juhnke,CDU
508,Dr. Gottfried Ludewig,CDU
509,Hildegard Bentele,CDU
510,Lars Oberg,SPD
511,Canan Bayram,Bündnis 90/Die Grünen
512,Alex Lubawinski,SPD
513,Ülker Radziwill,SPD
514,Heiko Thomas,Bündnis 90/Die Grünen
515,Roman Simon,CDU
516,Iris Spranger,SPD
517,Robert Schaddach,SPD
518,Ilkin Özisik,SPD
519,Dennis Buchner,SPD
520,Irene Köhne,SPD
521,Dr. Susanne Kitschun,SPD
522,Pavel Mayer,Piraten
523,Michael Freiberg,CDU
524,Dr. Michael Arndt,SPD
525,Oliver Schruoffeneger,Bündnis 90/Die Grünen
526,Kirsten Flesch,SPD
527,Birgit Monteiro,SPD
528,Bruni Wildenhein-Lauterbach,SPD
529,Dr. Niels Korte,CDU
530,Christian Goiny,CDU
531,Martin Beck,Bündnis 90/Die Grünen
532,Jakob Schultze-Berndt,CDU
533,Dr. Manuel Heide,CDU
534,Thorsten Karge,SPD
535,Renate Harant,SPD
536,Andreas Kugler,SPD
537,Özcan Mutlu,Bündnis 90/Die Grünen
538,Marion Seelig,Die Linke
539,Joachim Esser,Bündnis 90/Die Grünen
540,Martina Michels,Die Linke
541,Felicitas Kubala,Bündnis 90/Die Grünen
542,Simon Weiß,Piraten
543,Thomas Kleineidam,SPD
544,Karlheinz Nolte,SPD
545,Emine Demirbüken-Wegner,CDU
546,Dr. Dieter Neuendorf,AfD
547,Daniel Buchholz,SPD
548,Danny Freymark,CDU
549,Peter Trapp,CDU
550,Sebastian Czaja,FDP
551,Jeannette Auricht,AfD
552,Dr. Maren Jasper-Winter,FDP
553,Sven Rissmann,CDU
554,Sibylle Meister,FDP
555,Tobias Schulze,Die Linke
556,Thomas Seerig,FDP
557,Gabriele Gottwald,Die Linke
558,June Tomiak,Bündnis 90/Die Grünen
559,Dr. Wolfgang Albers,Die Linke
560,Katalin Gennburg,Die Linke
561,Frank-Christian Hansel,AfD
562,Harald Moritz,Bündnis 90/Die Grünen
563,Hakan Taş,Die Linke
564,Anne Helm,Die Linke
565,Niklas Schrader,Die Linke
566,Dr. Michael Efler,Die Linke
567,Tommy Tabor,AfD
568,Marc Vallendar,AfD
569,Katrin Seidel,Die Linke
570,Kristian Ronneburg,Die Linke
571,Andreas Statzkowski,CDU
572,Andreas Otto,Bündnis 90/Die Grünen
573,Andreas Kugler,SPD
574,Marcel Luthe,FDP
575,Marianne Burkert-Eulitz,Bündnis 90/Die Grünen
576,Sebastian Schlüsselburg,Die Linke
577,Tino Schopf,SPD
578,Philipp Bertram,Die Linke
579,Florian Kluckert,FDP
580,Frank Scholtysek,AfD
581,Dr. Kristin Brinker,AfD
582,Robert Schaddach,SPD
583,Joschka Langenbrinck,SPD
584,Stefan Franz Kerker,AfD
585,Emine Demirbüken-Wegner,CDU
586,Roman Simon,CDU
587,Mario Czaja,CDU
588,Stefanie Remlinger,Bündnis 90/Die Grünen
589,Burkard Dregger,CDU
590,Maik Penn,CDU
591,Dr. Stefan Taschner,Bündnis 90/Die Grünen
592,Paul Fresdorf,FDP
593,Ronald Gläser,AfD
594,Torsten Hofer,SPD
595,Anja Kofbinger,Bündnis 90/Die Grünen
596,Sebastian Walter,Bündnis 90/Die Grünen
597,Dr. Hugh Bronson,AfD
598,Stephan Lenz,CDU
599,Stephan Standfuß,CDU
600,Stefan Ziller,Bündnis 90/Die Grünen
601,Tim-Christopher Zeelen,CDU
602,Dr. Hans-Christian Hausmann,CDU
603,Adrian Grasse,CDU
604,Harald Gindra,Die Linke
605,Henner Schmidt,FDP
606,Cornelia Seibeld,CDU
607,Christian Gräff,CDU
608,Katina Schubert,Die Linke
609,Stefan Förster,FDP
610,Stephan Schmidt,CDU
611,Oliver Friederici,CDU
612,Hanno Bachmann,AfD
613,Dirk Stettner,CDU
614,Christian Buchholz,AfD
615,Frank Jahnke,SPD
616,Iris Spranger,SPD
617,Florian Swyter,FDP
618,Bettina König,SPD
619,Sven Kohlmeier,SPD
620,Bernd Schlömer,FDP
621,Gunnar Lindemann,AfD
622,Claudio Jupe,CDU
623,Dr. Susanna Kahlefeld,Bündnis 90/Die Grünen
624,Dr. Robbin Juhnke,CDU
625,Thorsten Weiß,AfD
626,Hendrikje Klein,Die Linke
627,Notker Schweikhardt,Bündnis 90/Die Grünen
628,Frank Scheermesser,AfD
629,Christian Goiny,CDU
630,Daniela Billig,Bündnis 90/Die Grünen
631,Bettina Domer,SPD
632,Regina Kittler,Die Linke
633,Catherina Pieroth-Manelli,Bündnis 90/Die Grünen
634,Dr. Turgut Altuğ,Bündnis 90/Die Grünen
635,Tom Schreiber,SPD
636,Georg Kössler,Bündnis 90/Die Grünen
637,Kay Nerstheimer,fraktionslos
638,Daniel Wesener,Bündnis 90/Die Grünen
639,Katrin Schmidberger,Bündnis 90/Die Grünen
640,Jürn Jakob Schultze-Berndt,CDU
641,Marion Platta,Die Linke
642,Stefanie Fuchs,Die Linke
643,Katrin Vogel,CDU
644,Kurt Wansner,CDU
645,Ülker Radziwill,SPD
646,Carsten Schatz,Die Linke
647,Bettina Jarasch,Bündnis 90/Die Grünen
648,Jessica Bießmann,AfD
649,Holger Krestel,FDP
650,Dr. Clara West,SPD
651,Stefan Evers,CDU
652,Fatime Topac,Bündnis 90/Die Grünen
653,Andreas Wild,AfD
654,Benedikt Lux,Bündnis 90/Die Grünen
655,Dennis Buchner,SPD
656,Herbert Mohr,AfD
657,Lars Düsterhöft,SPD
658,Martin Trefzer,AfD
659,Dr. Manuela Schmidt,Die Linke
660,Harald Laatsch,AfD
661,Steffen Zillich,Die Linke
662,Ines Schmidt,Die Linke
663,Frank Henkel,CDU
664,Bruni Wildenhein-Lauterbach,SPD
665,Dr. Susanne Kitschun,SPD
666,Dr. Nicola Böcker-Giannini,SPD
667,Dr. Ina Czyborra,SPD
668,Franziska Becker,SPD
669,Markus Klaer,CDU
670,Christian Hochgrebe,SPD
671,Harald Wolf,Die Linke
672,Carsten Ubbelohde,AfD
673,Jörg Stroedter,SPD
674,Florian Graf,CDU
675,Carsten Ubbelohnde,AfD
676,Dr. Hans-Joachim Berg,AfD
677,Karsten Woldeit,AfD
678,Dr. Maja Lasic,SPD
679,Michael Dietmann,CDU
680,Frank Zimmermann,SPD
681,Georg Pazderski,AfD
682,Marc Urbatsch,Bündnis 90/Die Grünen
683,Dr. Michail Nelken,Die Linke
684,Nicola Böcker-Giannini,SPD
685,Heiko Melzer,CDU
686,Nicole Ludwig,Bündnis 90/Die Grünen
687,Thomas Isenberg,SPD
688,Franziska Brychcy,Die Linke
689,Hildegard Bentele,CDU
690,Anja Schillhaneck,Bündnis 90/Die Grünen
691,Sabine Bangert,Bündnis 90/Die Grünen
692,Carola Bluhm,Die Linke
693,Silke Gebel,Bündnis 90/Die Grünen
694,Fréderic Verrycken,SPD
695,Karin Halsch,SPD
696,Udo Wolf,Die Linke
697,Dr. Ina Maria Czyborra,SPD
698,Dr. Gottfried Ludewig,CDU
699,Antje Kapek,Bündnis 90/Die Grünen
700,Stefan Gelbhaar,Bündnis 90/Die Grünen
701,Canan Bayram,Bündnis 90/Die Grünen
702,Dr. Gottfried Curio,AfD
703,Derya Caglar,SPD
704,Katrin Möller,Die Linke
705,Gaby Gottwald,Die Linke
706,Karin Korte,SPD
707,Katrin Lompscher,Die Linke
708,Elke Breitenbach,Die Linke
709,Dr. Jan Redmann,CDU
710,Andreas Gliese,CDU
711,Marie Luise von Halem,Bündnis 90/Die Grünen
712,Anke Schwarzenberg,Die Linke
713,Bettina Fortunato,Die Linke
714,Christoph Schulze,fraktionslos
715,Rainer Genilke,CDU
716,Benjamin Raschke,Bündnis 90/Die Grünen
717,Dieter Dombrowski,CDU
718,Danny Eichelbaum,CDU
719,Andrea Johlige,Die Linke
720,Dr. Andreas Bernig,Die Linke
721,Andreas Kalbitz,AfD
722,Michael Jungclaus,Bündnis 90/Die Grünen
723,Ursula Nonnemacher,Bündnis 90/Die Grünen
724,Thomas Jung,AfD
725,Iris Schülzke,fraktionslos
726,Axel Vogel,Bündnis 90/Die Grünen
727,Dr. Saskia Ludwig,CDU
